,mean,median,std,min,max
stars,9429.307,5786.0,10710.344,3466.0,125045.0
releases,40.922,11.0,89.925,0.0,1000.0
age_years,10.139,10.305,3.162,0.55,17.46
loc_total,92272.207,15374.0,255469.656,2.0,4165269.0
ck_class_count,1613.705,348.5,3781.564,1.0,44670.0
cbo_mean,5.377,5.327,1.869,0.0,21.894
cbo_median,3.558,3.0,1.72,0.0,30.0
cbo_stdev,6.214,6.02,2.68,0.0,20.766
dit_mean,1.456,1.394,0.352,1.0,4.388
dit_median,1.091,1.0,0.306,1.0,3.0
dit_stdev,1.087,0.764,2.337,0.0,52.98
lcom_mean,118.918,24.5,1741.616,0.0,54025.113
lcom_median,1.465,0.0,16.11,0.0,453.5
lcom_stdev,3275.627,129.602,75605.656,0.0,2351475.187
