full_name,reason,timestamp
NationalSecurityAgency/ghidra,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:06:50+00:00
dbeaver/dbeaver,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:07:17+00:00
elastic/elasticsearch,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:07:40+00:00
Anuken/Mindustry,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:16:21+00:00
openjdk/jdk,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.AnnotationBinding.getAnnotationType()"" because ""annotationBinding"" is null",2026-04-10T17:27:11+00:00
thingsboard/thingsboard,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:27:12+00:00
oracle/graal,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.needsUncheckedConversion(org.eclipse.jdt.internal.compiler.lookup.TypeBinding)"" because ""argumentType"" is null",2026-04-10T17:35:05+00:00
neo4j/neo4j,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.needsUncheckedConversion(org.eclipse.jdt.internal.compiler.lookup.TypeBinding)"" because ""argumentType"" is null",2026-04-10T17:35:12+00:00
questdb/questdb,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.isLocalType()"" because ""originalType"" is null",2026-04-10T17:35:17+00:00
Grasscutters/Grasscutter,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:36:37+00:00
JetBrains/intellij-community,"CK exited with code 1: Exception in thread ""main"" java.lang.StackOverflowError",2026-04-10T17:41:45+00:00
projectlombok/lombok,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.isInterface()"" because ""this.type.resolvedType"" is null",2026-04-10T17:45:07+00:00
trinodb/trino,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T17:50:55+00:00
checkstyle/checkstyle,"CK exited with code 1: Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: Index -1 out of bounds for length 2",2026-04-10T18:04:02+00:00
haifengl/smile,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T18:21:40+00:00
google/j2objc,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.AnnotationBinding.getAnnotationType()"" because ""annotationBinding"" is null",2026-04-10T18:26:44+00:00
JabRef/jabref,"CK exited with code 1: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""org.eclipse.jdt.internal.compiler.lookup.TypeBinding.kind()"" because ""receiverType"" is null",2026-04-10T18:54:45+00:00
dragonwell-project/dragonwell8,"CK exited with code 1: Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: Index 3 out of bounds for length 2",2026-04-10T19:03:11+00:00
NotFound9/interviewGuide,git clone failed: error: invalid path 'static/640-1487645.',2026-04-10T19:04:01+00:00
aws/aws-sdk-java,CK timed out after 1800s,2026-04-10T19:34:30+00:00
