owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
GrowingGit,GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,107395,0,6.6,1,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Snailclimb,JavaGuide,Snailclimb/JavaGuide,154814,0,7.93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doocs,advanced-java,doocs/advanced-java,78930,1,7.51,1,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
macrozheng,mall,macrozheng/mall,83358,3,8.02,760,100903,3.9342,3.0,4.9636,1.2395,1.0,0.4389,1110.8039,13.0,8150.188,132.7671,31.5,261.0299
krahets,hello-algo,krahets/hello-algo,125045,10,3.43,215,7707,1.8744,2.0,1.5091,1.0,1.0,0.0,4.707,1.0,10.4335,35.8465,30.0,19.9103
iluwatar,java-design-patterns,iluwatar/java-design-patterns,93863,0,11.67,1990,37970,3.3623,3.0,2.6059,1.196,1.0,0.5293,1.8276,0.0,6.3509,19.0804,11.0,26.3046
kdn251,interviews,kdn251/interviews,64922,0,9.15,257,5621,1.1946,1.0,1.2511,1.0039,1.0,0.0623,0.2918,0.0,0.9276,21.8716,20.0,10.7234
TheAlgorithms,Java,TheAlgorithms/Java,65349,0,9.73,1771,72867,2.0779,2.0,1.4747,1.0384,1.0,0.2596,11.205,1.0,37.1112,41.1446,28.0,43.075
termux,termux-app,termux/termux-app,53166,95,10.46,321,24563,5.9128,4.0,7.1759,1.4299,1.0,0.7031,60.8255,0.0,236.0028,76.5202,31.0,153.2297
MisterBooo,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,76661,0,7.34,4,78,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.5,18.5,6.8007
google,guava,google/guava,51510,57,11.87,5985,248759,4.2124,2.0,5.6906,1.8581,1.0,2.3208,51.5865,0.0,463.1993,41.5637,10.0,113.6953
ReactiveX,RxJava,ReactiveX/RxJava,48351,258,13.25,11897,373337,2.3338,1.0,5.1487,1.3222,1.0,0.8871,47.8836,0.0,1822.838,31.3808,5.0,103.8458
jeecgboot,JeecgBoot,jeecgboot/JeecgBoot,45802,70,7.37,911,55117,7.3557,4.0,9.5988,1.1789,1.0,0.4541,55.8705,0.0,362.5643,60.5016,16.0,155.5633
skylot,jadx,skylot/jadx,48025,34,13.06,3081,138367,4.3681,3.0,6.4786,1.6475,1.0,1.2379,32.2957,0.0,317.2503,44.9098,18.0,95.2388
PhilJay,MPAndroidChart,PhilJay/MPAndroidChart,38223,44,11.96,306,21111,8.8431,5.0,9.9903,1.9804,1.0,1.2286,91.0327,1.0,516.9505,68.9902,25.0,97.8874
TeamNewPipe,NewPipe,TeamNewPipe/NewPipe,37767,141,10.6,504,38887,8.6647,5.0,10.6078,1.7183,1.0,1.1443,47.873,1.0,249.1538,77.1567,26.0,150.8675
halo-dev,halo,halo-dev/halo,38223,254,8.05,1599,56031,7.6679,5.0,7.3462,1.252,1.0,0.6314,7.6554,0.0,31.3998,35.0413,17.0,51.6023
apache,dubbo,apache/dubbo,41602,113,13.81,4975,257069,5.4374,4.0,5.8492,1.2872,1.0,0.6929,45.924,1.0,434.7567,51.6722,20.0,101.2451
alibaba,arthas,alibaba/arthas,37236,69,7.61,1343,65589,4.6917,3.0,5.7888,1.3619,1.0,0.7523,30.1988,0.0,149.814,48.8377,20.0,89.2169
ashishps1,awesome-system-design-resources,ashishps1/awesome-system-design-resources,36120,0,2.46,11,336,0.8182,1.0,0.575,1.0,1.0,0.0,0.0,0.0,0.0,30.5455,26.0,12.0481
spring-projects,spring-boot,spring-projects/spring-boot,80396,345,13.47,13956,410877,5.4939,4.0,6.4143,1.2883,1.0,0.7708,12.9404,0.0,108.4003,29.4409,11.0,61.8301
